,oslaua2,Matched (not WCH),O -WCH,PEP -WCH,
1,E09000001,681,7,150,342
2,E09000002,74,1,6,65
3,E09000003,650,13,9,724
4,E09000004,90,3,2,51
5,E09000005,369,9,24,262
6,E09000006,181,2,2,130
7,E09000007,1122,63,33,1161
8,E09000008,381,3,8,201
9,E09000009,554,5,6,319
10,E09000010,185,10,7,148
11,E09000011,240,7,1,148
12,E09000012,327,2,6,286
13,E09000013,746,17,23,756
14,E09000014,346,1,5,262
15,E09000015,238,3,11,167
16,E09000016,142,2,6,59
17,E09000017,249,1,15,141
18,E09000018,996,5,15,229
19,E09000019,659,6,22,440
20,E09000020,2961,113,140,3527
21,E09000021,242,1,5,133
22,E09000022,1131,11,20,476
23,E09000023,319,3,4,141
24,E09000024,270,10,6,177
25,E09000025,343,5,23,173
26,E09000026,165,3,27,85
27,E09000027,255,10,13,234
28,E09000028,492,7,26,416
29,E09000029,138,3,6,77
30,E09000030,1002,14,32,844
31,E09000031,169,5,11,94
32,E09000032,1079,21,17,776
33,E09000033,6903,174,243,5817